ID,Project Name,Master Community,Launch Year,Start Price,Appreciation,Developer,Area,Unit Type,Community Type,2020 Price,2021 Price,2022 Price,2023 Price,2024 Price,2025 Price,2026 Price,Service Charge,PPSM,Rental Yield %,File1 Appreciation,DXB Travel Time,DWC Travel Time,Downtown Travel Time,Marina Travel Time,Appreciation_Clean_%,Price_Segment,Projected_CAGR_24_26,Price_Vs_Community_Avg_%,Project_Stage
13,Hartland Greens 6,Sobha Hartland,2019,1350000,44%,Sobha Realty,Mohammed Bin Rashid City,Apartments,Waterfront,,,1350000,1500000,1890000,1944000,,16,1450,6.0,44,20m,35m,12m,25m,44,Mid-Range,,,Completed 2021
14,Serena at Casa Dora,Arabian Ranches 3,2020,1850000,55%,Emaar Properties,Arabian Ranches,Villas,Gated/Community,1850000,2050000,2300000,2590000,2775000,2867500,,15,1200,5.2,55,35m,25m,30m,35m,55,Mid-Range,,,Completed 2022
15,Camelia at Arabian Ranches 3,Arabian Ranches 3,2020,1900000,52%,Emaar Properties,Arabian Ranches,Townhouses,Gated/Community,1900000,2100000,2350000,2640000,2808000,2888000,,15,1220,5.3,52,35m,25m,30m,35m,52,Mid-Range,,,Completed 2022
16,Joy at Arabian Ranches 3,Arabian Ranches 3,2021,2100000,48%,Emaar Properties,Arabian Ranches,Villas,Gated/Community,2100000,2300000,2550000,2835000,3024000,3108000,,15,1250,5.1,48,35m,25m,30m,35m,48,Mid-Range,,,Completed 2023
17,Creek Gate Tower,Dubai Creek Harbour,2019,1600000,68%,Emaar Properties,Dubai Creek Harbour,Apartments,Waterfront,1600000,1850000,2100000,2400000,2656000,2688000,,17,1580,6.0,68,15m,40m,15m,25m,68,Mid-Range,,,Completed 2022
18,Creek Horizon Tower 1,Dubai Creek Harbour,2020,1750000,62%,Emaar Properties,Dubai Creek Harbour,Apartments,Waterfront,1750000,2000000,2250000,2590000,2800000,2835000,,17,1600,5.9,62,15m,40m,15m,25m,62,Mid-Range,,,Completed 2023
19,Creek Horizon Tower 2,Dubai Creek Harbour,2020,1750000,60%,Emaar Properties,Dubai Creek Harbour,Apartments,Waterfront,1750000,2000000,2250000,2590000,2730000,2800000,,17,1600,5.9,60,15m,40m,15m,25m,60,Mid-Range,,,Completed 2023
20,Creek Beach Apartments,Dubai Creek Harbour,2021,1950000,55%,Emaar Properties,Dubai Creek Harbour,Apartments,Waterfront/Beach,1950000,2150000,2400000,2730000,2925000,3022500,,18,1650,5.8,55,15m,40m,15m,25m,55,Mid-Range,,,Completed 2024
21,Dubai Hills View,Dubai Hills Estate,2018,1400000,72%,Emaar Properties,Dubai Hills Estate,Apartments,Gated/Golf,1400000,1650000,1900000,2240000,2380000,2408000,,16,1350,5.7,72,25m,30m,20m,25m,72,Mid-Range,,,Completed 2021
22,Park Heights 1,Dubai Hills Estate,2019,1500000,68%,Emaar Properties,Dubai Hills Estate,Apartments,Gated/Golf,1500000,1750000,2000000,2360000,2490000,2520000,,16,1380,5.6,68,25m,30m,20m,25m,68,Mid-Range,,,Completed 2022
23,Park Heights 2,Dubai Hills Estate,2019,1520000,66%,Emaar Properties,Dubai Hills Estate,Apartments,Gated/Golf,1520000,1770000,2020000,2380000,2491200,2523200,,16,1380,5.6,66,25m,30m,20m,25m,66,Mid-Range,,,Completed 2022
24,Golf Suites,Dubai Hills Estate,2017,1650000,75%,Emaar Properties,Dubai Hills Estate,Apartments,Gated/Golf,1650000,1950000,2250000,2722500,2805000,2887500,,17,1420,5.5,75,25m,30m,20m,25m,75,Mid-Range,,,Completed 2020
25,Maple at Dubai Hills Estate,Dubai Hills Estate,2018,2200000,65%,Emaar Properties,Dubai Hills Estate,Townhouses,Gated/Golf,2200000,2550000,2900000,3410000,3520000,3630000,,18,1280,5.2,65,25m,30m,20m,25m,65,Luxury,,,Completed 2021
26,Acacia at Dubai Hills Estate,Dubai Hills Estate,2019,2100000,62%,Emaar Properties,Dubai Hills Estate,Townhouses,Gated/Golf,2100000,2450000,2750000,3192000,3276000,3402000,,18,1270,5.3,62,25m,30m,20m,25m,62,Luxury,,,Completed 2022
27,Sidra Villas,Dubai Hills Estate,2017,3500000,68%,Emaar Properties,Dubai Hills Estate,Villas,Gated/Golf,3500000,4100000,4700000,5530000,5740000,5880000,,20,1380,4.8,68,25m,30m,20m,25m,68,Luxury,,,Completed 2020
28,Parkway Vistas,Dubai Hills Estate,2020,1650000,58%,Emaar Properties,Dubai Hills Estate,Apartments,Gated/Golf,1650000,1850000,2100000,2442000,2541000,2607000,,16,1400,5.6,58,25m,30m,20m,25m,58,Mid-Range,,,Completed 2023
29,Boulevard Point,Downtown Dubai,2016,2200000,82%,Emaar Properties,Downtown Dubai,Apartments,Urban/Luxury,2200000,2750000,3200000,3740000,3938000,4004000,,22,2100,5.2,82,10m,45m,5m,20m,82,Luxury,,,Completed 2019
30,Boulevard Heights Tower 1,Downtown Dubai,2017,2400000,78%,Emaar Properties,Downtown Dubai,Apartments,Urban/Luxury,2400000,2950000,3400000,3984000,4176000,4272000,,22,2120,5.1,78,10m,45m,5m,20m,78,Luxury,,,Completed 2020
31,Boulevard Heights Tower 2,Downtown Dubai,2017,2400000,76%,Emaar Properties,Downtown Dubai,Apartments,Urban/Luxury,2400000,2950000,3400000,3936000,4128000,4224000,,22,2120,5.1,76,10m,45m,5m,20m,76,Luxury,,,Completed 2020
32,Forte 1,Downtown Dubai,2018,2600000,72%,Emaar Properties,Downtown Dubai,Apartments,Urban/Luxury,2600000,3150000,3600000,4212000,4420000,4472000,,23,2150,5.0,72,10m,45m,5m,20m,72,Luxury,,,Completed 2021
33,Forte 2,Downtown Dubai,2018,2600000,70%,Emaar Properties,Downtown Dubai,Apartments,Urban/Luxury,2600000,3150000,3600000,4160000,4368000,4420000,,23,2150,5.0,70,10m,45m,5m,20m,70,Luxury,,,Completed 2021
34,Grande at Dubai Marina,Dubai Marina,2015,2800000,78%,Emaar Properties,Dubai Marina,Apartments,Waterfront/Urban,2800000,3500000,4100000,4732000,4900000,4984000,,24,2300,5.3,78,18m,35m,25m,5m,78,Luxury,,,Completed 2018
35,Vida Residences Dubai Marina,Dubai Marina,2016,3200000,72%,Emaar Properties,Dubai Marina,Apartments,Waterfront/Branded,3200000,3900000,4500000,5248000,5440000,5504000,,25,2400,5.1,72,18m,35m,25m,5m,72,Luxury,,,Completed 2019
36,Beach Vista Tower 1,Dubai Harbour,2019,2100000,65%,Emaar Properties,Dubai Harbour,Apartments,Waterfront/Beach,2100000,2450000,2800000,3297000,3423000,3465000,,19,1750,5.6,65,20m,35m,22m,8m,65,Mid-Range,,,Completed 2022
37,Beach Vista Tower 2,Dubai Harbour,2019,2100000,63%,Emaar Properties,Dubai Harbour,Apartments,Waterfront/Beach,2100000,2450000,2800000,3234000,3360000,3423000,,19,1750,5.6,63,20m,35m,22m,8m,63,Mid-Range,,,Completed 2022
38,Sunrise Bay Tower 1,Dubai Harbour,2020,2300000,58%,Emaar Properties,Dubai Harbour,Apartments,Waterfront/Beach,2300000,2600000,2950000,3404000,3542000,3634000,,19,1780,5.5,58,20m,35m,22m,8m,58,Mid-Range,,,Completed 2023
39,Sunrise Bay Tower 2,Dubai Harbour,2020,2300000,56%,Emaar Properties,Dubai Harbour,Apartments,Waterfront/Beach,2300000,2600000,2950000,3358000,3496000,3588000,,19,1780,5.5,56,20m,35m,22m,8m,56,Mid-Range,,,Completed 2023
40,DAMAC Cavalli Tower,Business Bay,2020,1750000,48%,DAMAC Properties,Business Bay,Apartments,Urban/Branded,1750000,1950000,2200000,2485000,2590000,,,20,1850,6.2,48,15m,40m,12m,22m,48,Luxury,,,Completed 2025
41,DAMAC Maison Canal Views,Business Bay,2017,1400000,65%,DAMAC Properties,Business Bay,Apartments,Urban/Serviced,1400000,1650000,1900000,2226000,2310000,,,19,1650,6.5,65,15m,40m,12m,22m,65,Mid-Range,,,Completed 2020
42,Paramount Tower Hotel & Residences,Business Bay,2018,1850000,62%,DAMAC Properties,Business Bay,Apartments,Urban/Branded,1850000,2150000,2450000,2886000,2997000,,,21,1780,6.0,62,15m,40m,12m,22m,62,Luxury,,,Completed 2021
43,Aykon City Tower A,Business Bay,2019,2100000,58%,DAMAC Properties,Business Bay,Apartments,Urban/Luxury,2100000,2400000,2750000,3192000,3318000,,,20,1820,5.8,58,15m,40m,12m,22m,58,Luxury,,,Completed 2022
44,Aykon City Tower B,Business Bay,2019,2100000,56%,DAMAC Properties,Business Bay,Apartments,Urban/Luxury,2100000,2400000,2750000,3150000,3276000,,,20,1820,5.8,56,15m,40m,12m,22m,56,Luxury,,,Completed 2022
45,DAMAC Prive,Business Bay,2018,1650000,60%,DAMAC Properties,Business Bay,Apartments,Urban/Luxury,1650000,1900000,2150000,2508000,2640000,,,19,1720,6.1,60,15m,40m,12m,22m,60,Mid-Range,,,Completed 2021
46,Safa One,Business Bay,2021,3500000,42%,DAMAC Properties,Business Bay,Apartments,Urban/Luxury,,,3500000,3850000,4620000,4970000,,26,2350,5.2,42,15m,40m,12m,22m,42,Luxury,,,Completed 2024
47,DAMAC Smart Heights,Barsha Heights,2016,950000,68%,DAMAC Properties,Barsha Heights,Apartments,Urban,950000,1150000,1350000,1539000,1596000,,,14,1250,6.8,68,18m,35m,18m,15m,68,Affordable,,,Completed 2019
48,DAMAC Park Towers Tower A,DAMAC Hills,2017,1350000,72%,DAMAC Properties,DAMAC Hills,Apartments,Master Community,1350000,1600000,1850000,2214000,2322000,,,15,1180,6.0,72,32m,25m,28m,30m,72,Mid-Range,,,Completed 2020
49,DAMAC Park Towers Tower B,DAMAC Hills,2017,1350000,70%,DAMAC Properties,DAMAC Hills,Apartments,Master Community,1350000,1600000,1850000,2160000,2295000,,,15,1180,6.0,70,32m,25m,28m,30m,70,Mid-Range,,,Completed 2020
50,Vera Residences,DAMAC Hills,2018,1500000,65%,DAMAC Properties,DAMAC Hills,Villas,Master Community,1500000,1800000,2100000,2385000,2475000,,,16,1150,5.5,65,32m,25m,28m,30m,65,Mid-Range,,,Completed 2021
51,Gardenia Townhouses,DAMAC Hills,2018,1800000,62%,DAMAC Properties,DAMAC Hills,Townhouses,Master Community,1800000,2150000,2500000,2826000,2916000,,,17,1200,5.3,62,32m,25m,28m,30m,62,Mid-Range,,,Completed 2021
52,Golf Veduta Hotel Apartments,DAMAC Hills,2019,1250000,58%,DAMAC Properties,DAMAC Hills,Apartments,Master Community/Golf,1250000,1450000,1650000,1897500,1975000,,,14,1160,6.2,58,32m,25m,28m,30m,58,Mid-Range,,,Completed 2022
53,Brookfield Place,DAMAC Hills,2020,1650000,52%,DAMAC Properties,DAMAC Hills,Townhouses,Master Community,1650000,1900000,2150000,2442000,2508000,,,16,1190,5.4,52,32m,25m,28m,30m,52,Mid-Range,,,Completed 2023
54,Akoya Oxygen Clusters,DAMAC Hills,2016,950000,75%,DAMAC Properties,DAMAC Hills,Villas,Master Community/Golf,950000,1200000,1450000,1662500,1662500,,,13,1100,5.8,75,38m,22m,32m,35m,75,Affordable,,,Completed 2019
55,The Villas at DAMAC Hills 2,DAMAC Hills 2,2020,1400000,55%,DAMAC Properties,DAMAC Hills 2,Villas,Master Community,1400000,1600000,1850000,2093000,2170000,,,14,1140,5.6,55,35m,20m,30m,33m,55,Mid-Range,,,Completed 2023
56,Violeta Villas,DAMAC Hills 2,2021,1500000,50%,DAMAC Properties,DAMAC Hills 2,Villas,Master Community,1500000,1700000,1950000,2190000,2250000,,,14,1150,5.5,50,35m,20m,30m,33m,50,Mid-Range,,,Completed 2024
57,Camelia Townhouses,DAMAC Hills 2,2021,1350000,48%,DAMAC Properties,DAMAC Hills 2,Townhouses,Master Community,1350000,1550000,1750000,1917000,1998000,,,13,1120,5.7,48,35m,20m,30m,33m,48,Mid-Range,,,Completed 2025
58,The Palm Tower Residences,Palm Jumeirah,2018,3500000,68%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Luxury,3500000,4200000,4900000,5635000,5810000,5880000,,28,2600,4.8,68,22m,35m,20m,12m,68,Luxury,,,Completed 2021
59,Nakheel Villas Palm Jumeirah,Palm Jumeirah,2016,5500000,75%,Nakheel,Palm Jumeirah,Villas,Waterfront/Luxury,5500000,6800000,8000000,9075000,9350000,9625000,,32,2200,4.5,75,22m,35m,20m,12m,75,Ultra-Luxury,,,Completed 2019
60,Shoreline Apartments,Palm Jumeirah,2017,2800000,72%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Beach,2800000,3400000,4000000,4592000,4760000,4816000,,26,2450,5.0,72,22m,35m,20m,12m,72,Luxury,,,Completed 2020
61,Tiara Residences,Palm Jumeirah,2019,4200000,62%,Nakheel,Palm Jumeirah,Apartments,Waterfront/Luxury,4200000,4900000,5600000,6426000,6678000,6804000,,29,2550,4.7,62,22m,35m,20m,12m,62,Luxury,,,Completed 2022
62,Jumeirah Park Villas District 1,Jumeirah Park,2015,2200000,78%,Nakheel,Jumeirah Park,Villas,Gated/Community,2200000,2800000,3300000,3894000,3916000,3916000,,18,1180,5.5,78,25m,30m,22m,20m,78,Mid-Range,,,Completed 2018
63,Jumeirah Park Villas District 5,Jumeirah Park,2016,2400000,75%,Nakheel,Jumeirah Park,Villas,Gated/Community,2400000,3000000,3500000,4095000,4200000,4200000,,18,1200,5.4,75,25m,30m,22m,20m,75,Mid-Range,,,Completed 2019
64,Jumeirah Park Villas District 7,Jumeirah Park,2016,2300000,72%,Nakheel,Jumeirah Park,Villas,Gated/Community,2300000,2900000,3400000,3933000,3956000,3956000,,18,1190,5.5,72,25m,30m,22m,20m,72,Mid-Range,,,Completed 2019
65,JVC District 10 Buildings,JVC,2017,850000,68%,Nakheel,JVC,Apartments,Urban/Community,850000,1050000,1250000,1428000,1428000,1428000,,12,980,6.8,68,23m,29m,22m,18m,68,Affordable,,,Completed 2020
66,JVC District 12 Buildings,JVC,2017,880000,65%,Nakheel,JVC,Apartments,Urban/Community,880000,1080000,1280000,1452000,1452000,1452000,,12,990,6.7,65,23m,29m,22m,18m,65,Affordable,,,Completed 2020
67,JVC District 14 Buildings,JVC,2018,900000,62%,Nakheel,JVC,Apartments,Urban/Community,900000,1100000,1300000,1476000,1458000,1458000,,12,1000,6.6,62,23m,29m,22m,18m,62,Affordable,,,Completed 2021
68,Warsan Village,International City,2016,650000,72%,Nakheel,International City,Apartments,Urban/Affordable,650000,800000,950000,1099500,1118000,1118000,,10,750,7.2,72,28m,22m,25m,25m,72,Affordable,,,Completed 2019
69,International City Clusters,International City,2015,550000,78%,Nakheel,International City,Apartments,Urban/Affordable,550000,700000,850000,979000,979000,979000,,9,720,7.5,78,28m,22m,25m,25m,78,Affordable,,,Completed 2018
70,Discovery Gardens Building 1-5,Discovery Gardens,2016,750000,70%,Nakheel,Discovery Gardens,Apartments,Urban/Community,750000,950000,1120000,1267500,1275000,1275000,,11,850,7.0,70,24m,28m,20m,18m,70,Affordable,,,Completed 2019
71,Deira Islands Residences Phase 1,Deira Islands,2021,1650000,45%,Nakheel,Deira Islands,Apartments,Waterfront/Urban,,,1650000,1900000,2227500,2392500,,17,1480,5.8,45,12m,45m,18m,28m,45,Mid-Range,,,Completed 2024
72,Jumeirah Village Triangle Villas,JVT,2017,1900000,68%,Nakheel,JVT,Villas,Gated/Community,1900000,2400000,2850000,3192000,3192000,3192000,,17,1150,5.6,68,22m,28m,20m,18m,68,Mid-Range,,,Completed 2020
73,JVT District 2 Townhouses,JVT,2018,1750000,65%,Nakheel,JVT,Townhouses,Gated/Community,1750000,2200000,2600000,2887500,2887500,2887500,,16,1130,5.7,65,22m,28m,20m,18m,65,Mid-Range,,,Completed 2021
74,City Walk Building 1,City Walk,2016,2400000,75%,Meraas,City Walk,Apartments,Urban/Luxury,2400000,3000000,3500000,4050000,4200000,4200000,,24,2200,5.2,75,12m,42m,10m,18m,75,Luxury,,,Completed 2019
75,City Walk Building 5,City Walk,2017,2600000,72%,Meraas,City Walk,Apartments,Urban/Luxury,2600000,3200000,3750000,4316000,4472000,4472000,,24,2250,5.1,72,12m,42m,10m,18m,72,Luxury,,,Completed 2020
76,City Walk Building 10,City Walk,2018,2750000,68%,Meraas,City Walk,Apartments,Urban/Luxury,2750000,3350000,3900000,4466000,4620000,4620000,,25,2280,5.0,68,12m,42m,10m,18m,68,Luxury,,,Completed 2021
77,Bluewaters Residences,Bluewaters Island,2018,2800000,65%,Meraas,Bluewaters Island,Apartments,Waterfront/Luxury,2800000,3400000,3950000,4522000,4620000,4620000,,26,2350,5.0,65,15m,38m,15m,10m,65,Luxury,,,Completed 2021
78,La Mer Villas,La Mer,2017,6500000,68%,Meraas,Jumeirah 1,Villas,Waterfront/Beach,6500000,8000000,9500000,10920000,10920000,10920000,,35,2100,4.2,68,16m,40m,12m,15m,68,Ultra-Luxury,,,Completed 2020
79,La Mer Townhouses,La Mer,2018,4500000,65%,Meraas,Jumeirah 1,Townhouses,Waterfront/Beach,4500000,5500000,6500000,7425000,7425000,7425000,,30,2000,4.5,65,16m,40m,12m,15m,65,Ultra-Luxury,,,Completed 2021
80,Azizi Riviera Building 1-7,Azizi Riviera,2017,720000,72%,Azizi Developments,MBR City,Apartments,Waterfront,720000,900000,1050000,1152000,1238400,1238400,,13,980,6.8,72,20m,35m,15m,25m,72,Affordable,,,Completed 2022
81,Azizi Riviera Phase 1 (Buildings 8-20),Azizi Riviera,2018,750000,70%,Azizi Developments,MBR City,Apartments,Waterfront,750000,930000,1080000,1185000,1275000,1275000,,13,1000,6.7,70,20m,35m,15m,25m,70,Affordable,,,Completed 2023
82,Azizi Riviera Phase 2 (Buildings 21-40),Azizi Riviera,2019,780000,68%,Azizi Developments,MBR City,Apartments,Waterfront,780000,960000,1110000,1232400,1310400,1310400,,13,1020,6.6,68,20m,35m,15m,25m,68,Affordable,,,Completed 2024
83,Azizi Riviera Phase 3 (Buildings 41-53),Azizi Riviera,2020,820000,65%,Azizi Developments,MBR City,Apartments,Waterfront,820000,1000000,1140000,1271000,1353000,1353000,,13,1040,6.5,65,20m,35m,15m,25m,65,Affordable,,,Completed 2025
84,Creek Views I,Dubai Healthcare City,2021,980000,45%,Azizi Developments,Dubai Healthcare City,Apartments,Urban,,,980000,1100000,1323000,1421000,,14,1150,6.4,45,18m,38m,15m,23m,45,Affordable,,,Completed 2022
85,Park Avenue I,MBR City,2020,1050000,52%,Azizi Developments,MBR City,Apartments,Master Community,1050000,1200000,1350000,1522500,1596000,,,14,1100,6.3,52,20m,35m,15m,25m,52,Mid-Range,,,Completed 2022
86,Park Avenue II,MBR City,2021,1100000,48%,Azizi Developments,MBR City,Apartments,Master Community,1100000,1250000,1400000,1562000,1628000,,,14,1120,6.2,48,20m,35m,15m,25m,48,Mid-Range,,,Completed 2023
87,Park Avenue III,MBR City,2022,1150000,42%,Azizi Developments,MBR City,Apartments,Master Community,,,1150000,1300000,1518000,1633000,,14,1140,6.1,42,20m,35m,15m,25m,42,Mid-Range,,,Completed 2024
88,Berton,Al Furjan,2021,1050000,50%,Azizi Developments,Al Furjan,Apartments,Community,,,1050000,1200000,1470000,1575000,,13,1080,6.5,50,28m,22m,25m,20m,50,Mid-Range,,,Completed 2023
89,Farhad Azizi Residence,Al Furjan,2020,950000,55%,Azizi Developments,Al Furjan,Apartments,Community,950000,1100000,1250000,1407500,1472500,,13,1050,6.6,55,28m,22m,25m,20m,55,Affordable,,,Completed 2022
90,Azizi Vista,Studio City,2023,850000,35%,Azizi Developments,Studio City,Apartments,Urban,,,850000,950000,1062500,1147500,,12,1030,6.7,35,22m,28m,20m,22m,35,Affordable,,,Completed 2024
91,Jewelz,Liwan,2021,680000,52%,Danube Properties,Liwan,Apartments,Community,,,680000,780000,942400,1033600,,11,920,7.0,52,30m,20m,28m,30m,52,Affordable,,,Completed 2023
92,Wavez,Liwan,2022,720000,48%,Danube Properties,Liwan,Apartments,Community,,,720000,820000,986400,1065600,,11,940,6.9,48,30m,20m,28m,30m,48,Affordable,,,Completed 2024
93,Olivz,Al Warsan,2022,650000,45%,Danube Properties,Al Warsan,Apartments,Community,,,650000,750000,877500,942500,,10,880,7.1,45,25m,25m,23m,28m,45,Affordable,,,Completed 2024
94,Lawnz,Liwan,2020,720000,58%,Danube Properties,Liwan,Apartments,Community,720000,850000,980000,1108800,1137600,,,11,930,7.0,58,30m,20m,28m,30m,58,Affordable,,,Completed 2022
95,Starz,Al Furjan,2021,850000,52%,Danube Properties,Al Furjan,Apartments,Community,,,850000,980000,1173400,1292000,,12,1010,6.8,52,28m,22m,25m,20m,52,Affordable,,,Completed 2023
96,Glamz,Al Furjan,2020,820000,55%,Danube Properties,Al Furjan,Apartments,Community,820000,950000,1080000,1230300,1271000,,,12,990,6.8,55,28m,22m,25m,20m,55,Affordable,,,Completed 2022
97,Resortz,Dubai Sports City,2021,750000,50%,Danube Properties,Dubai Sports City,Apartments,Community,,,750000,870000,1050000,1125000,,11,950,7.0,50,26m,24m,24m,28m,50,Affordable,,,Completed 2023
98,Bayz,Business Bay,2022,1250000,42%,Danube Properties,Business Bay,Apartments,Urban,,,1250000,1425000,1647500,1775000,,16,1380,6.2,42,15m,40m,12m,22m,42,Mid-Range,,,Completed 2024
99,Miraclz,Arjan,2022,680000,45%,Danube Properties,Arjan,Apartments,Community,,,680000,780000,913500,986000,,11,910,7.1,45,24m,26m,22m,25m,45,Affordable,,,Completed 2024
100,Pearlz,Al Furjan,2023,900000,38%,Danube Properties,Al Furjan,Apartments,Community,,,900000,1020000,1170900,1242000,,12,1020,6.7,38,28m,22m,25m,20m,38,Affordable,,,Completed 2025
101,JBR Sadaf Towers,JBR,2008,1800000,85%,Dubai Properties,JBR,Apartments,Waterfront/Beach,1800000,2400000,2900000,3150000,3240000,3330000,,22,1950,5.5,85,20m,35m,20m,8m,85,Luxury,,,Completed 2008
102,JBR Amwaj Towers,JBR,2008,1750000,88%,Dubai Properties,JBR,Apartments,Waterfront/Beach,1750000,2350000,2850000,3080000,3185000,3290000,,22,1920,5.6,88,20m,35m,20m,8m,88,Luxury,,,Completed 2008
103,JBR Bahar Towers,JBR,2009,1900000,82%,Dubai Properties,JBR,Apartments,Waterfront/Beach,1900000,2500000,2950000,3230000,3344000,3458000,,23,1980,5.4,82,20m,35m,20m,8m,82,Luxury,,,Completed 2009
104,JBR Murjan Towers,JBR,2009,2000000,80%,Dubai Properties,JBR,Apartments,Waterfront/Beach,2000000,2600000,3050000,3360000,3480000,3600000,,23,2000,5.3,80,20m,35m,20m,8m,80,Luxury,,,Completed 2009
105,JBR Rimal Towers,JBR,2009,1850000,84%,Dubai Properties,JBR,Apartments,Waterfront/Beach,1850000,2450000,2900000,3182000,3293000,3404000,,22,1960,5.5,84,20m,35m,20m,8m,84,Luxury,,,Completed 2009
106,JBR Shams Towers,JBR,2010,1950000,78%,Dubai Properties,JBR,Apartments,Waterfront/Beach,1950000,2500000,2900000,3237000,3354000,3471000,,23,1990,5.4,78,20m,35m,20m,8m,78,Luxury,,,Completed 2010
107,1/JBR,JBR,2015,2400000,72%,Dubai Properties,JBR,Apartments,Waterfront/Luxury,2400000,3000000,3500000,3984000,4128000,4128000,,25,2200,5.2,72,20m,35m,20m,8m,72,Luxury,,,Completed 2017
108,Mudon Arabella Townhouses,Mudon,2018,1650000,58%,Dubai Properties,Mudon,Townhouses,Community,1650000,1950000,2250000,2508000,2607000,2607000,,15,1150,5.8,58,32m,23m,28m,32m,58,Mid-Range,,,Completed 2020
109,Mudon Azalea Townhouses,Mudon,2018,1600000,60%,Dubai Properties,Mudon,Townhouses,Community,1600000,1900000,2200000,2496000,2560000,2560000,,15,1140,5.9,60,32m,23m,28m,32m,60,Mid-Range,,,Completed 2020
110,Mudon Naseem Townhouses,Mudon,2019,1700000,55%,Dubai Properties,Mudon,Townhouses,Community,1700000,2000000,2300000,2601500,2635000,2635000,,15,1160,5.7,55,32m,23m,28m,32m,55,Mid-Range,,,Completed 2021
111,Villanova La Violeta,Villanova,2017,1850000,65%,Dubai Properties,Villanova,Villas,Gated Community,1850000,2200000,2600000,2962000,3052500,3052500,,16,1200,5.5,65,30m,22m,26m,30m,65,Mid-Range,,,Completed 2019
112,Villanova La Amarilla,Villanova,2018,1900000,62%,Dubai Properties,Villanova,Villas,Gated Community,1900000,2250000,2650000,3021000,3078000,3078000,,16,1210,5.4,62,30m,22m,26m,30m,62,Mid-Range,,,Completed 2020
